purpose,trips,person_hours,avg_time_min,avg_dist_km
work,21525314.0,113485786.98939583,316.3320739183526,421.77609855780355
recreation,9131328.5,54909019.362641245,360.79538281406417,420.9279466164083
family,5978797.1,33547665.3942312,336.66637117587953,420.8329639698494
vacation,3978797.1000000006,19729730.605159152,297.523046930327,421.49098315129663
tourism,4616936.8,25914068.071431167,336.76962705789475,420.9620338223684
emergency,157626.57,737530.6083094664,280.7384345073802,421.1076517610704
