purpose,trips,person_hours,avg_time_min,avg_dist_km
work,4185896.0,4571118.1705081295,65.52171631366086,87.3622884182145
recreation,1796474.0,2542865.8148326855,84.92855943919096,99.08331934572278
family,1177884.4,1604708.216374434,81.74188654036513,102.1773581754564
vacation,777884.4,996917.8968501247,76.89455375504058,108.93395115297416
tourism,908262.0999999999,1351497.4004647457,89.28022431838205,111.60028039797757
emergency,30929.480000000003,33019.10703330693,64.05366084390735,96.08049126586103
