purpose,trips,person_hours,avg_time_min,avg_dist_km
work,21525314.0,27334314.35218712,76.19209927117565,101.58946569490088
recreation,9131328.5,14851314.27715094,97.58479903872218,113.84893221184252
family,5978797.1,9327887.037466835,93.60966978591901,117.01208723239874
vacation,3978797.1000000006,5771599.115621839,87.03533712169195,123.30006092239691
tourism,4616936.8,7800473.416949894,101.37206231997668,126.71507789997084
emergency,157626.57,193891.56907597167,73.80414446979529,110.7062167046929
