purpose,trips,person_hours,avg_time_min,avg_dist_km
work,54170444.0,334432463.07282245,370.42243523736573,493.8965803164877
recreation,23292611.0,162857825.9961313,419.50941265313185,489.4276480953205
family,15275566.599999998,99477447.6571553,390.73161838915485,488.41452298644356
vacation,10075566.6,57718545.164817676,343.71394159501267,486.92808392626796
tourism,11780596.400000002,76264902.64718518,388.4263583489805,485.53294793622564
emergency,400852.22000000003,2184715.5440281583,327.01061912963706,490.5159286944557
