purpose,trips,person_hours,avg_time_min,avg_dist_km
work,4185896.0,20142497.36373716,288.7195099506126,384.95934660081673
recreation,1796474.0,9869500.699699894,329.6290633663463,384.5672405940707
family,1177884.4,6036964.710657281,307.51564639062786,384.3945579882848
vacation,777884.4,3513510.619120615,271.0050968334587,383.92388718073306
tourism,908262.0999999999,4647524.997798272,307.01655377659864,383.77069222074823
emergency,30929.480000000003,132208.78860196506,256.4714090284707,384.70711354270605
