purpose,trips,person_hours,avg_time_min,avg_dist_km
work,25408256.0,161225647.60585207,380.72423610463954,507.63231480618606
recreation,10852064.0,79499181.93012421,439.5431980319553,512.800397703948
family,7111238.4,48709407.27296177,410.97826735462934,513.7228341932866
vacation,4711238.4,28676967.649090692,365.21566366614803,517.3888568603764
tourism,5474070.4,37635676.01700962,412.5158056097666,515.6447570122082
emergency,187041.28000000003,1063797.2661489304,341.2499955567873,511.8749933351811
