purpose,trips,person_hours,avg_time_min,avg_dist_km
work,32045758.000000004,124877524.87514691,233.81102398978405,311.74803198637875
recreation,13261439.5,60391017.81952041,273.232862026119,318.7716723638056
family,8656863.7,37007572.143898904,256.49639472017265,320.6204934002158
vacation,5856863.7,22489814.051091067,230.3944418350497,326.3921259329871
tourism,6675847.399999999,29036855.98621658,260.97231628946383,326.2153953618298
emergency,230228.78999999998,811185.3532045365,211.40327928697445,317.1049189304617
