purpose,trips,person_hours,avg_time_min,avg_dist_km
work,34426298.0,104720906.11029232,182.5132161064062,243.3509548085416
recreation,14606574.499999998,51291013.35253374,210.69011089164164,245.80512937358193
family,9563944.7,31401708.131414577,197.00056273692957,246.25070342116183
vacation,6363944.7,18465810.176674694,174.09777470261196,246.63851416203366
tourism,7391816.9,24394171.46020001,198.00954317631982,247.5119289703998
emergency,252131.49,687097.0869578668,163.50922773459203,245.263841601888
