purpose,trips,person_hours,avg_time_min,avg_dist_km
work,13056802.0,80162752.06816813,368.3723720471589,491.16316272954515
recreation,5514200.5,38834713.20009778,422.5604041793306,492.987138209219
family,3608520.3,23746647.195524674,394.84295868627385,493.5536983578424
vacation,2408520.3000000003,14070018.552533679,350.50612326249467,496.55034128853407
tourism,2781988.4000000004,18385783.25585954,396.5318458378806,495.66480729735076
emergency,95284.01000000001,521507.89027874905,328.3916516184084,492.5874774276126
