purpose,trips,person_hours,avg_time_min,avg_dist_km
work,8640004.0,60622467.86944994,420.9891653021221,561.3188870694961
recreation,3660001.0,29111707.640486225,477.24097846672,556.7811415445067
family,2396000.5999999996,17757254.515171796,444.6723723317548,555.8404654146934
vacation,1596000.6,10404080.318440583,391.13069199750606,554.1018136631336
tourism,1850736.7,13656524.822902063,442.73801312424604,553.4225164053075
emergency,63200.020000000004,391697.5993168721,371.8646917993432,557.7970376990147
