purpose,trips,person_hours,avg_time_min,avg_dist_km
work,32045758.000000004,32526671.33681822,60.90042495512488,81.20056660683318
recreation,13261439.5,15967999.450714286,72.24554823349736,84.28647293908026
family,8656863.7,9825223.211119529,68.09780228689195,85.12225285861493
vacation,5856863.7,6012942.980938359,61.59893713358935,87.26516093925159
tourism,6675847.399999999,7812711.187355679,70.21770318496807,87.7721289812101
emergency,230228.78999999998,213619.8174961303,55.67153026243078,83.50729539364615
