purpose,trips,person_hours,avg_time_min,avg_dist_km
work,54170444.0,92843814.1858535,102.83520753773423,137.11361005031227
recreation,23292611.0,50363393.75758991,129.7322840043735,151.35433133843577
family,15275566.599999998,31619181.645790614,124.19512469982207,155.24390587477762
vacation,10075566.6,19411460.301909197,115.59524782601822,163.7599344201925
tourism,11780596.400000002,26308443.761515714,133.99208088403253,167.49010110504065
emergency,400852.22000000003,657508.9983388225,98.41666811856336,147.62500217784506
