purpose,trips,person_hours,avg_time_min,avg_dist_km
work,48435528.0,341059303.5701486,422.49066045504685,563.3208806067291
recreation,20358882.0,163389161.59240255,481.52691761483527,561.7814038839745
family,13315329.200000001,99654204.64432481,449.0502779803212,561.3128474754014
vacation,8915329.200000001,58969512.587500736,396.8637249256083,562.2236103112785
tourism,10286820.6,76738050.73574956,447.5904872050528,559.488109006316
emergency,352177.64,2200589.5016862974,374.9112808558142,562.3669212837214
