inf,143.90,inf,27.50,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,67.90,126.40,inf,inf,inf,0.00,129.40,inf,inf,inf,inf,inf,inf,117.30,inf,inf,inf
133.80,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,128.40,inf,inf,inf,129.40,0.00,inf,inf,inf,inf,193.20,inf,inf,51.60,inf,inf
inf,inf,inf,inf,227.60,inf,inf,inf,inf,inf,inf,inf,inf,364.10,inf,inf,inf,inf,inf,inf,inf,inf,226.20,inf,inf,inf,0.00,inf,inf,128.10,inf,inf,inf,inf,inf,inf
125.00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,113.00,inf,inf,inf,inf,inf,inf,inf,inf,0.00,inf,inf,176.70,inf,inf,inf,inf,inf
inf,inf,148.00,inf,inf,inf,inf,inf,inf,inf,inf,140.00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.00,inf,103.10,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,573.60,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,166.10,187.60,inf,inf,128.10,inf,inf,0.00,inf,inf,inf,inf,inf,inf
216.00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,193.20,inf,176.70,103.10,inf,0.00,inf,inf,inf,inf,inf
inf,93.30,inf,136.50,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.00,36.10,inf,inf,inf
inf,101.30,inf,108.40,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,117.30,inf,inf,inf,inf,inf,inf,36.10,0.00,inf,inf,inf
108.80,inf,inf,129.80,inf,inf,inf,280.50,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,126.20,inf,inf,inf,inf,inf,inf,51.60,inf,inf,inf,inf,inf,inf,inf,0.00,inf,inf
inf,inf,inf,inf,inf,311.00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,236.40,206.20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.00,34.90
inf,inf,inf,inf,inf,285.00,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,263.50,232.30,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,34.90,0.00
