0.0,inf,inf,inf,inf,inf,inf,inf,8.818383303508119,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,0.0,32.18915825875762,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,32.18915825875762,0.0,inf,36.047041893938214,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,0.0,inf,inf,inf,inf,18.87826054514689,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,36.047041893938214,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.16127260570781,inf,inf,inf
inf,inf,inf,inf,inf,0.0,22.7100251599491,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,22.7100251599491,0.0,inf,inf,inf,inf,inf,inf,inf,inf,26.53370880667731,inf,inf
inf,inf,inf,inf,inf,inf,inf,0.0,inf,37.17675068391064,inf,inf,inf,inf,inf,inf,inf,inf
8.818383303508119,inf,inf,18.87826054514689,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,10.638972052894808,inf
inf,inf,inf,inf,inf,inf,inf,37.17675068391064,inf,0.0,inf,inf,11.773442812003555,inf,inf,inf,inf,12.264224911637667
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,11.317790592740547,inf,inf,inf,inf,inf,13.190093582349354
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.317790592740547,0.0,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,11.773442812003555,inf,inf,0.0,11.388110836882477,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.388110836882477,0.0,inf,inf,inf,inf
inf,inf,inf,inf,22.16127260570781,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,26.644085445983155,inf,inf
inf,inf,inf,inf,inf,inf,26.53370880667731,inf,inf,inf,inf,inf,inf,inf,26.644085445983155,0.0,22.076132775329523,inf
inf,inf,inf,inf,inf,inf,inf,inf,10.638972052894808,inf,inf,inf,inf,inf,inf,22.076132775329523,0.0,14.255055687593085
inf,inf,inf,inf,inf,inf,inf,inf,inf,12.264224911637667,13.190093582349354,inf,inf,inf,inf,inf,14.255055687593085,0.0
